row_number,title,detail_url,resource_id,contracting_authority,info,date_published,submission_deadline,procedure,status,notice_pdf_url,award_date,estimated_value,cycle
227,"Consultancy Services to deliver a high-quality, visionary Masterplan and Part 8 design proposal at Ardrew, Athy, for Kildare County Council",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6935913,6935913,Kildare County Council_385,,Fri Nov 07 04:21:28 GMT 2025,Fri Dec 12 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6935913,,,1
228,Invitation to tender for Bord Bia's Consumer Lifestyle Trend - Cultivate,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6931022,6931022,Bord Bia (Irish Food Board),,Fri Nov 07 04:20:55 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6931022,,345000.0,1
229,Call for Tender for the provision of Hot Meals Scheme to Scoil Ghobnatan 19256Q,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6929336,6929336,Scoil Ghobnatan 19256Q,,Fri Nov 07 04:10:41 GMT 2025,Sat Dec 06 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6929336,,824678.0,1
230,National Centre for Research and Remembrance | Detail Design and Construction Delivery | Architectural Conservation Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6928047,6928047,Office of Public Works (OPW),,Fri Nov 07 03:41:03 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6928047,,1.0,1
231,Construction of a new Electrical Energy Centre (EEC) and associated site development works at UHG Campus.,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6819639,6819639,Health Service Executive (HSE),,Fri Nov 07 03:41:02 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6819639,,6700000.0,1
232,Design and Construction of the Royal Liver Housing Development - Phase 1,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6910007,6910007,The Land Development Agency,,Fri Nov 07 03:40:20 GMT 2025,Fri Dec 05 16:00:00 GMT 2025,Competitive dialogue,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6910007,,,1
233,Request for Tenders for the provision of Transitional Accommodation for Adult Females,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6931657,6931657,Irish Prison Service,,Fri Nov 07 03:40:18 GMT 2025,Thu Jan 15 13:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6931657,,3000000.0,1
234,Framework Agreement for the supply of Printed Matter to WWETB,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6930379,6930379,Waterford and Wexford Education and Training Board_110494,,Fri Nov 07 03:31:22 GMT 2025,Mon Dec 08 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6930379,,700000.0,1
235,2025/56 - Irish Sign Language Interpreters for LMETB,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6931369,6931369,Louth and Meath Education and Training Board 1384,,Fri Nov 07 03:31:10 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6931369,,,1
236,The provision of Geothermal technical services to Geological Survey Ireland for the GEMINI project,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6931287,6931287,Department of Climate Energy and the Environment,,Fri Nov 07 03:30:52 GMT 2025,Fri Jan 02 17:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6931287,,660000.0,1
237,"Tender for the Supply, Delivery, Installation and Commissioning of Re-Saw, 5-Sided Planer Moulder, Tilting Spindle Moulder, Crosscut Saw, Shredder, Bandsaw and Briquetting Machinery to MTU Kerry",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6929188,6929188,Munster Technological University.,,Fri Nov 07 03:21:20 GMT 2025,Wed Jan 07 12:00:00 GMT 2026,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6929188,,,1
238,HSE 25564 National Project Portfolio Management System for the HSE,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6925540,6925540,Health Service Executive (HSE),,Fri Nov 07 03:20:47 GMT 2025,Wed Dec 10 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6925540,,500000.0,1
239,Contract for the Provision of the QQI Level 6 Managing People Programme (2026–2027),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6942354,6942354,Dundalk Chamber Skillnet,,Thu Nov 06 16:53:59 GMT 2025,Wed Nov 26 18:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6942354,,,1
240,"Call For Tender for the provision of Hot Meals under the Schools Meals Scheme to Carrig N.S. Birr, 16166A",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6941576,6941576,Carrig N.S.,,Thu Nov 06 16:27:56 GMT 2025,Fri Nov 28 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6941576,,104832.0,1
241,Call for Tender Outsourced Payroll Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6943518,6943518,Coimisiún na Meán,,Thu Nov 06 16:23:46 GMT 2025,Fri Dec 19 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6943518,,220000.0,1
242,Meath Co Co - MH-TRA-25-18 - The Establishment of a Single Party Framework for the Provision of Professional and Technical Noise Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6943260,6943260,Meath County Council,,Thu Nov 06 15:58:20 GMT 2025,Thu Dec 04 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6943260,,200000.0,1
243,Call for Tender for the provision of Hot Meals under the School Meals scheme to Raheen National School 18191J,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6940555,6940555,Raheen National School,,Thu Nov 06 15:36:02 GMT 2025,Thu Nov 27 00:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6940555,,270000.0,1
244,"Monaghan County Council wishes to tender for: N54 North Road, Monaghan Road Safety Improvement Scheme",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6941760,6941760,Monaghan County Council,,Thu Nov 06 15:20:07 GMT 2025,Mon Dec 08 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6941760,,,1
245,QQI Level 5 Healthcare Support Training Programme,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6940980,6940980,South West Gnó Skillnet (C.F.C.D. Group),,Thu Nov 06 14:40:24 GMT 2025,Thu Dec 04 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6940980,,196000.0,1
246,Facilitation of Services for We Can Fix It Social Inclusion and Capacity Building Under Theme 2 Thriving and Peaceful Communities Part of the Sligo PEACEPLUS Co-designed Local Community Plan,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6940460,6940460,Sligo County Council,,Thu Nov 06 14:39:02 GMT 2025,Thu Nov 20 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6940460,,,1
247,Wicklow Garda Station - door and window refurbishment,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6939919,6939919,Office of Public Works (OPW),,Thu Nov 06 14:15:41 GMT 2025,Thu Nov 27 12:00:00 GMT 2025,Restricted,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6939919,,1.0,1
248,Carlow County Council Call for Tender for Provision of Services for the Coordination of Carlow Comhairle na nÓg,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6934668,6934668,Carlow County Council,,Thu Nov 06 13:17:35 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6934668,,,1
249,"Implementation of approved restoration plans for the demonstration of peatland restoration measures on circa. 63ha of blanket bog habitat at two locations near Ballycroy, Co. Mayo.",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6938969,6938969,Department of Housing Local Government and Heritage,,Thu Nov 06 12:52:18 GMT 2025,Thu Dec 11 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6938969,,46000.0,1
250,"Implementation of restoration plans for c.37ha of blanket bog through various peatland restoration measures on three sites near to Delphi, Co. Mayo; Dromore West, Co. Sligo and Recess Co Galway",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6937187,6937187,Department of Housing Local Government and Heritage,,Thu Nov 06 12:43:01 GMT 2025,Mon Dec 15 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6937187,,130000.0,1
251,Facilitation of Services for Men’s Sheds Cross-border Exchange Social Inclusion and Capacity Part of the Sligo PEACEPLUS Co-designed Local Community Peace Action Plan,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6938286,6938286,Sligo County Council,,Thu Nov 06 12:42:26 GMT 2025,Thu Nov 20 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6938286,,,1
252,"Call for Tender for the provision of Hot Meals under the School Meals Scheme to St Patrick's, Dublin 17507F",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6930937,6930937,St Patrick's,,Thu Nov 06 12:18:26 GMT 2025,Wed Dec 03 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6930937,,323232.0,1
253,Call for Tender for the provision of Hot Meals under the School Meals Scheme to Cappataggle NS 19506N,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6935735,6935735,Cappataggle National School,,Thu Nov 06 11:44:02 GMT 2025,Fri Nov 28 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6935735,,183456.0,1
254,"2025 - Design, Supply, Installation of equipment and ancillary works for new playground at Knockanore, Co. Waterford",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6935450,6935450,KGK Community Development Company Ltd.,,Thu Nov 06 10:50:07 GMT 2025,Fri Nov 21 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6935450,,130000.0,1
255,Limerick City and County Council Visions and Options Report for the future of Retail in Limerick City 2026 -2040,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6935649,6935649,Limerick City and County Council_103432,,Thu Nov 06 10:45:15 GMT 2025,Thu Nov 27 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6935649,,,1
256,SI-2529 - Request for Tender for the provision of a Women in Sport Leadership Development Programme,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6935575,6935575,Sport Ireland,,Thu Nov 06 10:25:33 GMT 2025,Thu Nov 27 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6935575,,150000.0,1
257,"The Provision of Maintenance, Support, Upgrades, Enhancement/Ancillary Services and content development for an Airbus Mobile Cyber Range Platform to MTU",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6929235,6929235,Munster Technological University.,,Thu Nov 06 04:30:27 GMT 2025,Wed Dec 17 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6929235,,,1
258,SG REFURB 2025,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6927426,6927426,Dublin Bus / Bus Atha Cliath,,Thu Nov 06 04:30:16 GMT 2025,Tue Dec 09 00:00:00 GMT 2025,Negotiated with prior call for competition,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6927426,,1200000.0,1
259,TR3907 - Solicitors for the provision of legal services in the Republic of Ireland,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6904450,6904450,Electricity Supply Board ( ESB ),,Thu Nov 06 04:20:52 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Negotiated with prior call for competition,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6904450,,,1
260,County Wicklow Dog Warden Service including the management and operation of the Dog Pound,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6923031,6923031,Wicklow County Council,,Thu Nov 06 04:20:40 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6923031,,800000.0,1
261,P20614 - Digital Prepaid Cards,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6927149,6927149,daa plc,,Thu Nov 06 04:20:17 GMT 2025,Thu Dec 18 00:00:00 GMT 2025,Negotiated with prior call for competition,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6927149,,,1
262,"Call for Tenders dated 05/11/2025 for the supply, delivery, installation and maintenance of tools and equipment for T4 subjects for St. Brendan’s Community School, Birr 91491L",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6926476,6926476,St. Brendan's Community School (Birr),,Thu Nov 06 04:10:54 GMT 2025,Fri Dec 05 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6926476,,230000.0,1
263,Tender for the provision of micro-credentials courses in various fields of Offshore Wind,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6912303,6912303,Wind Energy Ireland,,Thu Nov 06 03:31:22 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6912303,,1350000.0,1
264,Consultancy Services to Support ISO 9001:2015 Certification,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6895563,6895563,Tailte Éireann,,Thu Nov 06 03:21:38 GMT 2025,Tue Dec 09 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6895563,,195000.0,1
265,Multi Supplier Framework Agreement for the Supply of Construction Materials for Refurbishment Works/General Maintenance for Training Centres v2,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6920711,6920711,Waterford and Wexford Education and Training Board_110494,,Thu Nov 06 03:21:17 GMT 2025,Thu Dec 04 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6920711,,500000.0,1
266,Former Bank of Ireland Building in Rathkeale – provision of Architect led Integrated Design Team Consultancy Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6919873,6919873,Limerick City and County Council_103432,,Thu Nov 06 03:20:40 GMT 2025,Wed Dec 10 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6919873,,,1
267,Hydraulic Tiltrotators (3 Lots),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6918445,6918445,Office of Public Works (OPW),,Thu Nov 06 03:20:20 GMT 2025,Thu Dec 04 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6918445,,290000.0,1
268,Single Party Framework for Media Buying on behalf of Cork City Council,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6879053,6879053,Cork City Council,,Thu Nov 06 03:11:20 GMT 2025,Thu Dec 04 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6879053,,1000000.0,1
269,Certificate in Lean Six Sigma (Green Belt),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6933431,6933431,Dundalk Chamber Skillnet,,Thu Nov 06 00:09:10 GMT 2025,Wed Nov 26 18:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6933431,,200000.0,1
270,Call for Tender for the provision of Hot Meals under the School Meals Scheme to Coldwood N.S. (17051L),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6924119,6924119,Coldwood National School,,Wed Nov 05 23:30:05 GMT 2025,Wed Nov 26 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6924119,,174720.0,1
271,Provision of PME Upgrade and Ongoing Support Services,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6930081,6930081,Raidió Teilifís Éireann ( RTÉ ),,Wed Nov 05 17:18:52 GMT 2025,Tue Dec 09 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6930081,,70000.0,1
272,"Refurbishment and Alterations to Bay 88, Shannon Airport Business Park - West",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6922181,6922181,Shannon Commercial Enterprises DAC (SCE),,Wed Nov 05 16:58:31 GMT 2025,Tue Dec 02 13:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6922181,,,1
273,Scoil Naomh Ciarán,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6926325,6926325,Scoil Naomh Ciarán,,Wed Nov 05 15:06:04 GMT 2025,Wed Dec 10 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6926325,,,1
274,"Cft Call for Tender for the Supply, Delivery and Installation of equipment for Art and Graphics Design Lab to Bishopstown Community School,Bishopstown,Cork",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6930510,6930510,Bishopstown Community School,,Wed Nov 05 14:44:06 GMT 2025,Fri Nov 28 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6930510,,50000.0,1
275,"Cft Call for Tenders for the Supply,Delivery and Installation of tools and Equipment for Engineering,Construction Studies,Art,Music and PE to Ardee Community School,Ardee, Co Louth",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6929680,6929680,Ardee Community School,,Wed Nov 05 14:19:57 GMT 2025,Thu Nov 27 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6929680,,650000.0,1
276,The provision of Training Services for Local Enterprise Office Sligo,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6927855,6927855,Sligo County Council,,Wed Nov 05 12:43:42 GMT 2025,Fri Dec 12 17:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6927855,,220000.0,1
277,TEN2500224 - To establish a Multi Party Framework Agreement for Electrical Contractors to carry out Electrical works to Cavan County Council's Housing Stock and other Council Buildings. All MDs,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6927592,6927592,Cavan County Council,,Wed Nov 05 12:32:37 GMT 2025,Wed Dec 03 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6927592,,,1
278,Renewal of Secure Email Gateway Environment,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6921437,6921437,Office of Public Works (OPW),,Wed Nov 05 11:40:31 GMT 2025,Tue Nov 25 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6921437,,110000.0,1
279,Call for Tender Hot School Lunches Primary School for Lindsay Road National School 16177F,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6926242,6926242,Lindsay Road National School,,Wed Nov 05 11:29:06 GMT 2025,Sun Nov 30 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6926242,,165984.0,1
280,Supply delivery and installation of Gas Chromatography Mass Spectrometer,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6925636,6925636,University College Dublin ( UCD ),,Wed Nov 05 10:16:00 GMT 2025,Thu Nov 20 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6925636,,50000.0,1
281,Tender for Various Small Building and Plant Maintenance Works at MEDITE Europe DAC ‘25,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6924689,6924689,Medite Europe DAC,,Wed Nov 05 09:08:49 GMT 2025,Tue Nov 25 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6924689,,50000.0,1
282,Development Deal Agreement with stage payments,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6766788,6766788,Focus Housing Association clg,,Wed Nov 05 04:50:36 GMT 2025,Fri Dec 05 12:00:00 GMT 2025,Competitive with negotiation,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6766788,,,1
283,Call for Tender for the provision of Hot Meals under the School Meals Scheme to An Mhodhscoil / Model School Limerick 19894C,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6907722,6907722,Model School,,Wed Nov 05 04:10:33 GMT 2025,Fri Dec 05 15:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6907722,,1009882.0,1
284,Call for Tender to Establish a Panel of Trainers to Deliver Training on Behalf of Retail Ireland Skillnet 2026 - 2028,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6911438,6911438,Retail Ireland Skillnet,,Wed Nov 05 03:51:24 GMT 2025,Fri Dec 12 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6911438,,1400000.0,1
285,"St Joseph's CBS, Nenagh (65370B) Construction Classroom Equipment",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6910645,6910645,St Joseph's CBS Secondary School (Nenagh),,Wed Nov 05 03:41:58 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6910645,,70000.0,1
286,Supply of Motor Vehicles for The Brothers of Charity Services Ireland (BOCSI),https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6911360,6911360,Brothers of Charity Services Ireland,,Wed Nov 05 03:41:49 GMT 2025,Tue Dec 09 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6911360,,980000.0,1
287,"St Joseph's CBS, Nenagh (65370B) Art Room Equipment",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6911049,6911049,St Joseph's CBS Secondary School (Nenagh),,Wed Nov 05 03:41:15 GMT 2025,Mon Dec 08 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6911049,,70000.0,1
288,"Monaghan County Council wishes to tender for: Archaeological Services Contract - N54 Tullybryan Realignment, Tullygrimes to Annaghervy, County Monaghan",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6909038,6909038,Monaghan County Council,,Wed Nov 05 03:32:02 GMT 2025,Mon Dec 01 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6909038,,,1
289,ComReg T21383 Request for Tenders to provide Executive Search Services to Commission for Communications Regulation,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6910505,6910505,Commission for Communications Regulation,,Tue Nov 04 16:52:26 GMT 2025,Tue Nov 18 12:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6910505,,,1
290,Supply and Delivery of a 4x4 Tractor for Inland Fisheries Ireland,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6921571,6921571,Inland Fisheries Ireland,,Tue Nov 04 16:33:30 GMT 2025,Tue Nov 25 14:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6921571,,123000.0,1
291,Contractor for Conservation Repair Works to Moate Footbridge,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6920753,6920753,Westmeath County Council,,Tue Nov 04 16:09:15 GMT 2025,Tue Nov 25 16:00:00 GMT 2025,Open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6920753,,,1
292,RFT for Leadership and Change Management Training Programme,https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6920915,6920915,Trócaire_166765,,Tue Nov 04 15:30:40 GMT 2025,Fri Nov 21 21:00:00 GMT 2025,Accelerated open,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6920915,,,1
293,"Multi-Party Framework for Small Building Works, value of works between €20k - €80k for University of Galway (GALW/BUILD1277/2026)",https://www.etenders.gov.ie/epps/cft/prepareViewCfTWS.do?resourceId=6918807,6918807,University of Galway (ID 1400),,Tue Nov 04 14:57:40 GMT 2025,Thu Nov 27 12:00:00 GMT 2025,Restricted,Tender Submission,https://www.etenders.gov.ie/epps/cft/downloadNoticeForAdvSearch.do?resourceId=6918807,,5000000.0,1
